tf	blanco	experimento	pmids	en_corpus
AmrZ	PA3235	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA3276	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA3280	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA3311	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA3353	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA3385	Beta-gal reporter assay|ChIP-Seq|Copper-phenanthroline footprinting|EMSA|Fluorescence anisotropy|RNA-Seq|Site directed mutagenesis|X-ray crystallography	15968052|22511872|24603766	true
AmrZ	PA3401	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA3413	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA3540	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA3541	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA3542	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA3544	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA3546	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA3648	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA3670	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA3674	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA3691	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA3722	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA3818	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA3825	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA3841	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA3854	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA3921	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA3934	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA3951	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA4033	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA4222	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA4292	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA4297	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA4300	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA4306	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA4307	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA4314	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA4324	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA4331	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA4367	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA4392	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA4418	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA4488	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA4493	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA4520	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA4606	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA4625	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA4639	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA4677	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA4683	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA4748	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA4842	ChIP-Seq|EMSA|RNA-Seq	24603766	true
AmrZ	PA4844	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA4915	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA4929	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA4981	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA5138	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA5167	ChIP-Seq|RNA-Seq	24603766	true
AmrZ	PA5447	ChIP-Seq|RNA-Seq	24603766	true
ArgR	PA0888	Beta-gal reporter assay|EMSA	9791103	false
ArgR	PA0889	Beta-gal reporter assay|EMSA	9791103	false
ArgR	PA0890	Beta-gal reporter assay|EMSA	9791103	false
ArgR	PA0891	Beta-gal reporter assay|EMSA	9791103	false
ArgR	PA0892	Beta-gal reporter assay|EMSA	9791103	false
ArgR	PA0893	Beta-gal reporter assay|EMSA	9791103	false
ArgR	PA0958	DNAse footprinting|EMSA|RNA dot blot	10464217	false
ArgR	PA1971	Beta-gal reporter assay|DNA-array expression analysis|EMSA	15175299	true
ArgR	PA2042	Beta-gal reporter assay|DNA-array expression analysis|EMSA	15175299	true
ArgR	PA3525	Beta-gal reporter assay|DNA-array expression analysis|EMSA	15175299	true
ArgR	PA3862	Beta-gal reporter assay|EMSA|Site directed mutagenesis	19850617	false
