tf	blanco	experimento	pmids
LasR	PA2591	"EMSA [PMID: 17449616|19682264]"|Beta-gal reporter assay [PMID: 17449616]|ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]|Site directed mutagenesis [PMID: 17449616]	
LasR	PA2592	"EMSA [PMID: 17449616|19682264]"|Beta-gal reporter assay [PMID: 17449616]|ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]|Site directed mutagenesis [PMID: 17449616]	
LasR	PA2939	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]	
LasR	PA3104	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]	
LasR	PA3105	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]	
LasR	PA3326	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]|EMSA [PMID: 19682264]	
LasR	PA3384	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]	
LasR	PA3385	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]	
LasR	PA3477	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]|EMSA [PMID: 19682264]	
LasR	PA3478	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]	
LasR	PA3479	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]	
LasR	PA3535	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]	
LasR	PA3724	Beta-gal reporter assay [PMID: 8576049]|ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]|EMSA [PMID: 19682264]|Site directed mutagenesis [PMID: 8576049]	
LasR	PA3904	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]|EMSA [PMID: 19682264]	
LasR	PA3905	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]|EMSA [PMID: 19682264]	
LasR	PA3906	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]|EMSA [PMID: 19682264]	
LasR	PA3907	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]|EMSA [PMID: 19682264]	
LasR	PA3908	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]|EMSA [PMID: 19682264]	
LasR	PA4117	ChIP-PCR [PMID: 19682264]|ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]	
LasR	PA4210	Beta-gal reporter assay [PMID: 11544214]|Site directed mutagenesis [PMID: 11544214]	
LasR	PA4306	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]	
LasR	PA4677	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]|EMSA [PMID: 19682264]	
LasR	PA4778	Beta-gal reporter assay [PMID: 20233934]|ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]|DNA-array expression analysis [PMID: 20233934]|EMSA [PMID: 19682264]|EMSA [PMID: 20233934]|Site directed mutagenesis [PMID: 20233934]	
LasR	PA5184	ChIP-PCR [PMID: 19682264]|ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]	
LasR	PA5232	ChIP-chip [PMID: 19682264]|DNA-array expression analysis [PMID: 19682264]	
LexA	PA3007	EMSA [PMID: 15458417]|qRT-PCR [RNA] [PMID: 15458417]	
LexA	PA3008	EMSA [PMID: 15458417]|qRT-PCR [RNA] [PMID: 15458417]	
MexT	PA2493	Beta-gal reporter assay [PMID: 20727012]|EMSA [PMID: 20727012]|Site directed mutagenesis [PMID: 20727012]	
MexT	PA2494	Beta-gal reporter assay [PMID: 20727012]|EMSA [PMID: 20727012]|Site directed mutagenesis [PMID: 20727012]	
MexT	PA2495	Beta-gal reporter assay [PMID: 20727012]|EMSA [PMID: 20727012]|Site directed mutagenesis [PMID: 20727012]	
MexT	PA4623	Beta-gal reporter assay [PMID: 19846594]|DNA-array expression analysis [PMID: 19846594]|Site directed mutagenesis [PMID: 19846594]	
MexT	PA4881	Beta-gal reporter assay [PMID: 19846594]|DNA-array expression analysis [PMID: 19846594]|EMSA [PMID: 19846594]|Site directed mutagenesis [PMID: 19846594]|qRT-PCR [RNA] [PMID: 19846594]	
NarL	PA5170	2D PAGE [PMID: 18832311]|Beta-gal reporter assay [PMID: 18832311]|Northern blot [PMID: 18832311]|Site directed mutagenesis [PMID: 18832311]	
NarL	PA5171	2D PAGE [PMID: 18832311]|Beta-gal reporter assay [PMID: 18832311]|Northern blot [PMID: 18832311]|Site directed mutagenesis [PMID: 18832311]	
NarL	PA5172	2D PAGE [PMID: 18832311]|Beta-gal reporter assay [PMID: 18832311]|Northern blot [PMID: 18832311]|Site directed mutagenesis [PMID: 18832311]	
NarL	PA5173	2D PAGE [PMID: 18832311]|Beta-gal reporter assay [PMID: 18832311]|Northern blot [PMID: 18832311]|Site directed mutagenesis [PMID: 18832311]	
OhrR	PA2849	Beta-gal reporter assay [PMID: 20139188]|DNAse footprinting [PMID: 20139188]|EMSA [PMID: 20139188]	
OhrR	PA2850	Beta-gal reporter assay [PMID: 20139188]|DNAse footprinting [PMID: 20139188]|EMSA [PMID: 20139188]|Northern blot [PMID: 20139188]|Site directed mutagenesis [PMID: 20139188]|qRT-PCR [RNA] [PMID: 20139188]	
OxyR	PA0139	Beta-gal reporter assay [PMID: 10913087]|EMSA [PMID: 10913087]	
OxyR	PA0140	Beta-gal reporter assay [PMID: 10913087]|EMSA [PMID: 10913087]	
OxyR	PA0848	Beta-gal reporter assay [PMID: 10913087]|EMSA [PMID: 10913087]	
OxyR	PA4613	Beta-gal reporter assay [PMID: 10913087]|EMSA [PMID: 10913087]	
PA2206	PA2214	Beta-gal reporter assay [PMID: 23382903]|DNA-array expression analysis [PMID: 23382903]|EMSA [PMID: 23382903]|qRT-PCR [RNA] [PMID: 23382903]	
PA2206	PA2215	Beta-gal reporter assay [PMID: 23382903]|DNA-array expression analysis [PMID: 23382903]|EMSA [PMID: 23382903]|qRT-PCR [RNA] [PMID: 23382903]	
PA2206	PA2426	DNA-array expression analysis [PMID: 23382903]|EMSA [PMID: 23382903]|qRT-PCR [RNA] [PMID: 23382903]	
PA2206	PA4881	DNA-array expression analysis [PMID: 23382903]|EMSA [PMID: 23382903]|qRT-PCR [RNA] [PMID: 23382903]	
PchR	PA4227	Beta-gal reporter assay [PMID: 16194235]|EMSA [PMID: 16194235]|Site directed mutagenesis [PMID: 16194235]	
PchR	PA4228	Beta-gal reporter assay [PMID: 16194235]|EMSA [PMID: 16194235]|Site directed mutagenesis [PMID: 16194235]	
PhoB	PA4236	EMSA [PMID: 16238634]|GUS reporter gene assay [PMID: 16238634]	
PsrA	PA3013	Beta-gal reporter assay [PMID: 18524913]|DNA-array expression analysis [PMID: 18524913]|EMSA [PMID: 18524913]|qRT-PCR [RNA] [PMID: 18524913]	
PsrA	PA3014	Beta-gal reporter assay [PMID: 18524913]|DNA-array expression analysis [PMID: 18524913]|EMSA [PMID: 18524913]|qRT-PCR [RNA] [PMID: 18524913]	
PtxR	PA1148	Beta-gal reporter assay [PMID: 22844393]|DNAse footprinting [PMID: 22844393]|EMSA [PMID: 22844393]|Isothermal titration calorimetry [PMID: 22844393]	
PtxR	PA2260	Beta-gal reporter assay [PMID: 22844393]|DNAse footprinting [PMID: 22844393]|EMSA [PMID: 22844393]|Isothermal titration calorimetry [PMID: 22844393]	
PtxR	PA2261	Beta-gal reporter assay [PMID: 22844393]|DNAse footprinting [PMID: 22844393]|EMSA [PMID: 22844393]|Isothermal titration calorimetry [PMID: 22844393]	
PtxR	PA2262	Beta-gal reporter assay [PMID: 22844393]|DNAse footprinting [PMID: 22844393]|EMSA [PMID: 22844393]|Isothermal titration calorimetry [PMID: 22844393]	
PtxR	PA2263	Beta-gal reporter assay [PMID: 22844393]|DNAse footprinting [PMID: 22844393]|EMSA [PMID: 22844393]|Isothermal titration calorimetry [PMID: 22844393]	
PtxR	PA2264	DNAse footprinting [PMID: 22844393]|EMSA [PMID: 22844393]|Isothermal titration calorimetry [PMID: 22844393]	
PtxR	PA2265	DNAse footprinting [PMID: 22844393]|EMSA [PMID: 22844393]|Isothermal titration calorimetry [PMID: 22844393]	
PtxR	PA2266	DNAse footprinting [PMID: 22844393]|EMSA [PMID: 22844393]|Isothermal titration calorimetry [PMID: 22844393]	
PtxS	PA2259	Beta-gal reporter assay [PMID: 22844393]|DNAse footprinting [PMID: 22844393]|EMSA [PMID: 22844393]	
PtxS	PA2260	Beta-gal reporter assay [PMID: 22844393]|DNAse footprinting [PMID: 22844393]|EMSA [PMID: 22844393]	
PtxS	PA2261	Beta-gal reporter assay [PMID: 22844393]|DNAse footprinting [PMID: 22844393]|EMSA [PMID: 22844393]	
PtxS	PA2262	Beta-gal reporter assay [PMID: 22844393]|DNAse footprinting [PMID: 22844393]|EMSA [PMID: 22844393]	
PtxS	PA2263	Beta-gal reporter assay [PMID: 22844393]|DNAse footprinting [PMID: 22844393]|EMSA [PMID: 22844393]	
PtxS	PA2264	DNAse footprinting [PMID: 22844393]|EMSA [PMID: 22844393]	
PtxS	PA2265	DNAse footprinting [PMID: 22844393]|EMSA [PMID: 22844393]	
PtxS	PA2266	DNAse footprinting [PMID: 22844393]|EMSA [PMID: 22844393]	
PvdS	PA2396	Beta-gal reporter assay [PMID: 11222621]|EMSA [PMID: 11222621]|In-vitro transcription [PMID: 11222621]|Site directed mutagenesis [PMID: 11222621]	
PvdS	PA2397	Beta-gal reporter assay [PMID: 11222621]|EMSA [PMID: 11222621]|In-vitro transcription [PMID: 11222621]|Site directed mutagenesis [PMID: 11222621]	
PyeR	PA4354	Beta-gal reporter assay [PMID: 22820840]|EMSA [PMID: 22820840]|qRT-PCR [RNA] [PMID: 22820840]	
PyeR	PA4355	Beta-gal reporter assay [PMID: 22820840]|EMSA [PMID: 22820840]|qRT-PCR [RNA] [PMID: 22820840]	
PyeR	PA4356	Beta-gal reporter assay [PMID: 22820840]|EMSA [PMID: 22820840]|qRT-PCR [RNA] [PMID: 22820840]	
QscR	PA1897	Beta-gal reporter assay [PMID: 16390453]|DNAse footprinting [PMID: 16390453]|EMSA [PMID: 16390453]|Site directed mutagenesis [PMID: 16390453]	
RhlR	PA3478	"Beta-gal reporter assay [PMID: 14526008|24935161]"|EMSA [PMID: 14526008]|Site directed mutagenesis [PMID: 24935161]	
RhlR	PA3479	"Beta-gal reporter assay [PMID: 14526008|24935161]"|EMSA [PMID: 14526008]|Site directed mutagenesis [PMID: 24935161]	
RhlR	PA5161	Beta-gal reporter assay [PMID: 22262098]|Site directed mutagenesis [PMID: 22262098]	
RhlR	PA5162	Beta-gal reporter assay [PMID: 22262098]|Site directed mutagenesis [PMID: 22262098]	
RhlR	PA5163	Beta-gal reporter assay [PMID: 22262098]|Site directed mutagenesis [PMID: 22262098]	
RhlR	PA5164	Beta-gal reporter assay [PMID: 22262098]|Site directed mutagenesis [PMID: 22262098]	
RpoN	PA3540	DNAse footprinting [PMID: 10792721]|EMSA [PMID: 10792721]|Site directed mutagenesis [PMID: 10792721]	
RpoN	PA5292	Beta-gal reporter assay [PMID: 20869215]|Site directed mutagenesis [PMID: 20869215]	
RsaL	PA1432	"Beta-gal reporter assay [PMID: 17172347|"EMSA [PMID: 17172347|18045385]"|DNAse footprinting [PMID: 18045385]|Site directed mutagenesis [PMID: 17172347]|Western blot (quantitative) expression analysis [PMID: 17172347]	
RsaL	PA2193	DNA-array expression analysis [PMID: 18045385]|EMSA [PMID: 18045385]	
RsaL	PA4209	DNA-array expression analysis [PMID: 18045385]|EMSA [PMID: 18045385]	
RsaL	PA4210	DNA-array expression analysis [PMID: 18045385]|EMSA [PMID: 18045385]	
Vfr	PA0652	Beta-gal reporter assay [PMID: 20494996]|DNAse footprinting [PMID: 20494996]|EMSA [PMID: 20494996]|In-vitro transcription [PMID: 20494996]	
Vfr	PA1097	Beta-gal reporter assay [PMID: 12218009]|DNAse footprinting [PMID: 12218009]|EMSA [PMID: 12218009]|Site directed mutagenesis [PMID: 12218009]	
Vfr	PA1430	Beta-gal reporter assay [PMID: 9190808]|EMSA [PMID: 9190808]|Site directed mutagenesis [PMID: 9190808]	
Vfr	PA2258	Beta-gal reporter assay [PMID: 18227247]|DNAse footprinting [PMID: 18227247]|EMSA [PMID: 18227247]	
Vfr	PA4704	Beta-gal reporter assay [PMID: 19801409]|EMSA [PMID: 19801409]|Site directed mutagenesis [PMID: 19801409]	
