tf	blanco	experimento	pmids
AmrZ	PA2249	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA2282	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA2286	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA2313	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA2400	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA2461	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA2462	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA2466	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA2567	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA2685	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA2867	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA2894	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA2992	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3019	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3032	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3039	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3058	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3059	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3060	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3061	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3062	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3063	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3064	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3126	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3147	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3153	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3177	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3190	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3215	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3235	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3276	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3280	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3311	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
AmrZ	PA3353	ChIP-Seq [PMID: 24603766]|RNA-Seq [PMID: 24603766]	
